track_id,track_name,artist_name,track_popularity,explicit,artist_popularity,artist_followers,album_total_tracks,track_duration_min
2BgEsaKNfHUdlh97KmvFyo,2002,Anne-Marie,78,0,75.0,12845551.0,18,3.11
1D2L6MefbXon28PzIk9I3r,92 Explorer,Post Malone,65,1,86.0,47720209.0,18,3.52
7dt6x5M1jzdTEt8oCbisTK,Better Now,Post Malone,80,1,86.0,47722935.0,18,3.85
1ZemPoaj7LBj1RAQrb89EC,Blame It On Me,Post Malone,59,0,86.0,47720209.0,18,4.36
640xtSHjEUcnzSTtQEK8bN,I Hope You Dance,Lee Ann Womack,0,0,53.0,811009.0,23,4.9
3mRLHiSHYtC8Hk7bzZdUs1,River,Bishop Briggs,75,0,61.0,963894.0,10,3.6
3lWzVNe1yFZlkeBBzUuZYu,Bella Ciao - Música Original de la Serie la Casa de Papel/ Money Heist,Manu Pilas,69,0,51.0,58333.0,1,2.33
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,87,0,90.0,118692183.0,1,3.33
47JVgLUOFUp4iZ60wR5nv2,Shades of Blue,Kelsey Lu,31,0,40.0,149033.0,1,3.91
1AZFoli0qTFmgsnT5pZX9I,"Smile for You (From Sword Art Online -Ordinal Scale-"")""",daigoro789,0,0,50.0,38492.0,24,3.24
2OJiL2xsAFEucNu8pFXWVd,"A Tender Feeling (From Sword Art Online"")""",daigoro789,0,0,50.0,38492.0,24,2.02
7w3NjTXSpx5OuIMVJxYNdB,Into The Badlands Theme,Mike Shinoda,22,0,54.0,604003.0,26,0.64
65vCFEB6WnRdUpsW5FTSDS,Easy (Baby Driver Mix),Sky Ferreira,25,0,54.0,640655.0,28,3.83
3V8UKqhEK5zBkBb6d6ub8i,Te Boté - Remix,Nio Garcia,74,1,67.0,5576392.0,1,6.96
6JhSNd1NSE8K9tjPHpf3Ig,Main Titles,Christopher Lennertz,24,0,40.0,24204.0,22,1.18
2TXtN9MoV308Y0z1HvyTfV,You Make It Easy,Jason Aldean,76,0,74.0,7052478.0,15,3.22
7uzmGiiJyRfuViKKK3lVmR,Mine,Bazzi,71,1,66.0,5506705.0,16,2.18
4kOlyvj9WiPrI4zpmzKAeA,Change Your Mind,ELI,46,0,32.0,29207.0,1,2.89
1otG6j1WHNvl9WgXLWkHTo,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,80,0,83.0,9472867.0,15,3.45
0dIoGTQXDh1wVnhIiSyYEa,Bartier Cardi (feat. 21 Savage),Cardi B,61,1,81.0,25957976.0,13,3.73
2Yl4OmDby9iitgNWZPwxkd,Be Careful,Cardi B,69,1,81.0,25957976.0,13,3.51
00B7TZ0Xawar6NZ00JFomN,Best Life (feat. Chance The Rapper),Cardi B,50,1,81.0,25953771.0,13,4.74
